case,blockage_m2,bridge_wse_m,delta_bridge_wse_vs_current_m,up100_wse_m,delta_up100_wse_vs_current_m,bridge_velocity_m_s,bridge_effective_area_m2,bridge_froude,up500_wse_m
现状河床线,360.0,22.190000,0.000000,22.420322,0.000000,3.851168,6751.198,0.332281,22.673001
0.5m防冲刷,380.0,22.186824,-0.003176,22.425632,0.005310,3.863509,6729.633,0.333874,22.678049
1.0m防冲刷,390.0,22.185224,-0.004776,22.428311,0.007989,3.869713,6718.845,0.334675,22.680596
2.0m防冲刷,410.0,22.182000,-0.008000,22.433718,0.013396,3.882187,6697.256,0.336289,22.685736
