point_index,station_m_raw_direction,elevation_m,cad_x,cad_y
0,0.0,23.320000000018627,391479.9473693766,3188764.550857411
1,11.561785039189271,23.1,391595.5652197685,3188762.350857411
2,52.64549357258947,23.4,392006.4023051025,3188765.350857411
3,81.98626687654178,14.1,392299.810038142,3188672.350857411
4,106.49238331760861,4.575,392544.8712025527,3188577.100857411
5,120.50470426264219,3.8239999999757854,392684.994412003,3188569.590857411
6,134.7754737492418,2.971999999973923,392827.702106869,3188561.070857411
7,155.92317943740053,1.6390000000130385,393039.1791637506,3188547.740857411
8,184.20626986870192,-0.8100000000093133,393322.0100680636,3188523.250857411
9,212.48936030032928,1.3489999999757856,393604.8409723799,3188544.840857411
10,233.76629025911097,1.1229999999981373,393817.6102719677,3188542.580857411
11,262.04938069041236,0.893999999994412,394100.4411762807,3188540.290857411
12,290.3324711220281,1.2580000000074505,394383.2720805969,3188543.930857411
13,311.4801768101985,1.5649999999906867,394594.7491374786,3188547.000857411
14,339.7632672414882,1.7640000000130385,394877.5800417915,3188548.990857411
15,361.0401972006075,2.7299999999813735,395090.3493413827,3188558.650857411
16,382.1879028887721,3.4239999999757855,395301.8263982643,3188565.590857411
17,396.4586723749875,4.775,395444.5340931265,3188579.100857411
18,417.60637806319863,7.806999999983236,395656.0111500086,3188609.420857411
19,445.88946849479106,12.585999999986962,395938.8420543245,3188657.210857411
20,458.87162393339094,16.2,396068.6636087105,3188693.350857411
21,470.1199404178071,17.860000000009315,396181.1467735547,3188709.950857411
22,483.22704512043856,22.039999999990687,396312.217820581,3188751.750857411
23,488.5819575070112,23.4,396365.7669444467,3188765.350857411
24,495.8127080561768,23.3,396438.0744499384,3188764.350857411
25,501.96279269916704,21.25,396499.5752963683,3188743.850857411
26,509.090084484237,20.689999999990686,396570.848214219,3188738.250857411
27,520.1594318502,17.560000000009314,396681.5416878786,3188706.950857411
28,542.5840833067778,17.329999999981375,396905.7882024444,3188704.650857411
