section,points,station_first_m,station_last_m,station_min_m,station_max_m,elev_min_m,elev_max_m,vertical_scale_cad_per_m,elev0_cad_y,csv
西支桥下,166,0.0,531.6436043992696,0.0,531.6436043992696,-1.8089999999850987,28.020000000018626,10.0,3193335.313820825,data/processed/cross_sections/西支桥下.csv
西支上游500米,33,0.0,746.3155964771111,0.0,746.3155964771111,-1.7279999998863786,25.2,10.0,3191399.682304821,data/processed/cross_sections/西支上游500米.csv
西支上游100米,35,0.0,684.5898251048523,0.0,684.5898251048523,-0.5729999999981373,28.320000000018627,10.0,3190177.873179401,data/processed/cross_sections/西支上游100米.csv
西支下游100米,36,0.0,766.4576595225487,0.0,766.4576595225487,-0.8769999999552965,23.5,10.0,3189341.490337671,data/processed/cross_sections/西支下游100米.csv
西支下游500米,29,0.0,542.5840833067778,0.0,542.5840833067778,-0.8100000000093133,23.4,10.0,3188531.350857411,data/processed/cross_sections/西支下游500米.csv
