pier,side,design_mud_elevation_m,measured_2025_mud_elevation_m,design_max_scour_elevation_m,source_dxf,table_title,table_title_handle,table_title_cad_x,table_title_cad_y,anonymous_block_discovered,row_label_handle,row_label_block_local_x,row_label_block_local_y,design_cell_handle,design_cell_block_local_x,design_cell_block_local_y,measured_cell_handle,scour_cell_handle,coordinate_note
15,L,4.27,1.47,0.37,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥15#桥墩基础冲刷参数表,402AC3,-48657.40034138515,61417.1140853215,*T5,40100E,5.0,-18.7583798882697,401010,32.5,-18.7583798882697,401011,401012,title=world; table cells=anonymous-block local
15,R,4.27,0.89,0.37,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥15#桥墩基础冲刷参数表,402AC3,-48657.40034138515,61417.1140853215,*T5,401016,5.0,-24.2583798882697,401018,32.5,-24.2583798882697,401019,40101A,title=world; table cells=anonymous-block local
16,L,5.40,0.33,1.50,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥16#桥墩基础冲刷参数表,44D1AF,-48659.50890262203,61030.15161659422,*T31,44D1C0,5.0,-18.7583798882697,44D1C2,32.5,-18.7583798882697,44D1C3,44D1C4,title=world; table cells=anonymous-block local
16,R,5.40,0.50,1.50,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥16#桥墩基础冲刷参数表,44D1AF,-48659.50890262203,61030.15161659422,*T31,44D1CA,5.0,-24.2583798882697,44D1CC,32.5,-24.2583798882697,44D1CD,44D1CE,title=world; table cells=anonymous-block local
17,L,9.56,3.51,5.66,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥17#桥墩基础冲刷参数表,402AC6,-48659.50890262202,60625.97726221022,*T14,402A55,5.0,-18.7583798882697,402A57,32.5,-18.7583798882697,402A58,402A59,title=world; table cells=anonymous-block local
17,R,9.56,2.30,5.66,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,赣江西支特大桥17#桥墩基础冲刷参数表,402AC6,-48659.50890262202,60625.97726221022,*T14,402A5F,5.0,-24.2583798882697,402A61,32.5,-24.2583798882697,402A62,402A63,title=world; table cells=anonymous-block local
