role,label_text,label_handle,leader_handle,leader_pointer_cad_x,leader_pointer_cad_y,profile_handle,profile_layer,profile_vertex_count,profile_cad_x_min,profile_cad_x_max,leader_profile_gap_cad_units,station_transform,elevation_transform,current_match_rms_station_m,current_match_max_station_m,current_match_rms_elevation_m,current_match_max_elevation_m,source_dxf
design_original,中地面线（建设期),450503,450504,-49736.649717664,61410.221536812,450505,细虚线,35,-50135.082817865,-49414.352332252,1.45519152284e-11,station=cad_x+(50013.012882408206),elevation=cad_y+(-61405.400743981823),5.49976879364e-12,1.31024080474e-11,0.000776150525977,0.0100000000035,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf
current_transform_reference,上游地面线（现状),450507,450508,-49947.257193324,61419.617807595,454ADA,DMX,166,-50013.012882408,-49481.369278009,0.0319587354606,station=cad_x+(50013.012882408206),elevation=cad_y+(-61405.400743981823),5.49976879364e-12,1.31024080474e-11,0.000776150525977,0.0100000000035,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf
