equivalent_strip_width_m,case,target_blocked_area_m2,obstruction_top_m,calibrated_downstream_wse_m,bridge_wse_m,up100_wse_m,delta_up100_vs_current_m,up500_wse_m,delta_up500_vs_current_m,bridge_velocity_m_s,bridge_effective_area_m2,bridge_froude
50.0,现状河床线,360.0,7.166142406524106,22.062273711121733,22.19000001849333,22.408878590987342,0.0,22.70035733835629,0.0,3.8511377996078506,6751.251539907894,0.33227675023247233
50.0,0.5m防冲刷,380.0,7.5582983399530015,22.062273711121733,22.185792519649382,22.411706856038073,0.0028282650507307494,22.703027987894316,0.002670649538025316,3.8637701210841975,6729.1788033974035,0.33390560825611415
50.0,1.0m防冲刷,390.0,7.75437630666746,22.062273711121733,22.18367110600407,22.413131433173476,0.004252842186133421,22.704373227497552,0.004015889141260942,3.8701224227483753,6718.133733231118,0.3347256719915979
50.0,2.0m防冲刷,410.0,8.146532240096331,22.062273711121733,22.17939246087116,22.416001765502777,0.007123174515434982,22.707083811575878,0.006726473219586637,3.882900126428038,6696.025947985932,0.336377208723687
100.0,现状河床线,360.0,4.15156764419207,22.062661672758125,22.18999998653712,22.408519325031705,0.0,22.700018095808087,0.0,3.8511378061146093,6751.251528501196,0.3322767510189549
100.0,0.5m防冲刷,380.0,4.349587546875066,22.062661672758125,22.185767064913293,22.411299592390158,0.002780267358453159,22.702643405606324,0.002625309798236941,3.8637773186976547,6729.166267988679,0.33390649675288836
100.0,1.0m防冲刷,390.0,4.448597498216568,22.062661672758125,22.183632957838988,22.41270027241174,0.0041809473800356045,22.703966069885894,0.003947974077807004,3.8701332463252776,6718.114944669465,0.3347270092885758
100.0,2.0m防冲刷,410.0,4.646617400899565,22.062661672758125,22.179328867476006,22.41552283571587,0.007003510684164382,22.706631517766517,0.006613421958430621,3.882918290495916,6695.994624362634,0.33637945699594496
200.0,现状河床线,360.0,2.706165839402149,22.062923386656067,22.190000011363963,22.40827687476685,0.0,22.69978917948636,0.0,3.851137798891674,6751.251541163389,0.3322767501273751
200.0,0.5m防冲刷,380.0,2.8148616827613404,22.062923386656067,22.18574714944689,22.411019429998554,0.002742555231701971,22.702378847540114,0.0025896680537549344,3.86378295606172,6729.156449952691,0.3339071926852154
200.0,1.0m防冲刷,390.0,2.8692095684865357,22.062923386656067,22.18360308889934,22.412401347702996,0.004124472936144485,22.703683797739608,0.0038946182532484386,3.8701417253252623,6718.100226113775,0.334728056931969
200.0,2.0m防冲刷,410.0,2.97790536178821,22.062923386656067,22.17927922002547,22.415186723563366,0.00690984879651424,22.706314111246147,0.006524931759788188,3.8829324747764775,6695.970164018034,0.33638121269152804
