source,source_sha256,target,target_sha256,converter,warning_lines,error_lines,local_log_sha256
data/raw/cad/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dwg,eb566bf2008611ac2df61b96e296f0f240fb2b9b351232582a34bef6e855e140,data/intermediate/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,6d3dcad7214669d1510fa09fa530e1577a35dae47e3c1fd7c1afd11f69a6bc08,dwg2dxf 0.14.8592,706,0,b4814edb7919e850952d88a9e1c2eb3646f76f57c0a0a647e2315d61ba469129
data/raw/cad/02赣江西支特大桥等值线图.dwg,2a71b33bb82e2249362c21bdcfcc977f6501a203c03c7282f3f3b50c8f126b64,data/intermediate/dxf/02赣江西支特大桥等值线图.dxf,b43eceb6ae3cdd740570b8f5c4ea223f9a59175de487c150bd48d90190ab8b99,dwg2dxf 0.14.8592,60,2,3ddf4c9d0af878d8c89f8521ca3b0d669ac39094d7c4339d25c018cda4afc74d
data/raw/cad/西支5断面100-100，0906.dwg,659566084dbde9c0be7d38427b0c84ba6a7a78755fc83e17d1d410fef5f4b8f0,data/intermediate/dxf/西支5断面100-100，0906.dxf,d3fa69402ebc731aa3df0163c6a396f6f2aab8259843e1814e6557584d08f91a,dwg2dxf 0.14.8592,8,0,a4dc4321118707220a86f3983cedfe9efc2b37e5ef2af66eb0a5590acd178e84
data/raw/cad/西支成果.dwg,cea613b986229c43527239c986e3b81b6836d2bfb6bbc3c05dc96fecb7a04742,data/intermediate/dxf/西支成果.dxf,4a307f05ed8aa5b27d1b8cf2313a6300b684eaa364c394dbbb0ccc5c54d670d0,dwg2dxf 0.14.8592,74,0,761f1c36bc718b82ab0a5c3b2cdf1e9e7f0a0b67a21caaf9f313d50874d5ba33
