point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
75,142.000000000,3.778946959,1.007093128,2.771853832,1,distributed,constraint_reconstruction
76,143.246453495,3.809511892,0.994000000,2.815511892,1,distributed,constraint_reconstruction
77,144.000000000,3.825990132,0.985713416,2.840276716,1,distributed,constraint_reconstruction
78,145.247039409,3.850476269,0.972000000,2.878476269,1,distributed,constraint_reconstruction
79,146.000000000,3.863908718,0.964093761,2.899814957,1,distributed,constraint_reconstruction
80,147.247000659,3.883284220,0.951000000,2.932284220,1,distributed,constraint_reconstruction
81,148.000000000,3.893269250,0.943093354,2.950175897,1,distributed,constraint_reconstruction
82,149.246961908,3.907007250,0.930000000,2.977007250,1,distributed,constraint_reconstruction
83,150.000000000,3.913677670,0.922092947,2.991584723,1,distributed,constraint_reconstruction
84,151.246923158,3.922109644,0.909000000,3.013109644,1,distributed,constraint_reconstruction
85,152.000000000,3.925718201,0.901095009,3.024623192,1,distributed,constraint_reconstruction
86,153.247509072,3.929333878,0.888000000,3.041333878,1,distributed,constraint_reconstruction
87,154.000000000,3.930192466,0.880095606,3.050096861,1,distributed,constraint_reconstruction
88,155.246689404,3.929545240,0.867000000,3.062545240,1,distributed,constraint_reconstruction
89,156.000000000,3.928019300,0.859090085,3.068929214,1,distributed,constraint_reconstruction
90,157.246650654,3.923723680,0.846000000,3.077723680,1,distributed,constraint_reconstruction
91,158.000000000,3.920169236,0.838089679,3.082079557,1,distributed,constraint_reconstruction
92,159.246611903,3.912809251,0.825000000,3.087809251,1,distributed,constraint_reconstruction
93,160.000000000,3.866903262,0.776420699,3.090482562,1,distributed,constraint_reconstruction
94,161.247197817,3.789699788,0.696000000,3.093699788,1,distributed,constraint_reconstruction
95,162.000000000,3.774067384,0.679061623,3.095005762,1,distributed,constraint_reconstruction
96,163.247159067,3.747202805,0.651000000,3.096202805,1,distributed,constraint_reconstruction
97,164.000000000,3.732741746,0.636319317,3.096422429,1,distributed,constraint_reconstruction
98,165.247120317,3.708026876,0.612000000,3.096026876,1,distributed,constraint_reconstruction
99,166.000000000,3.727356206,0.631959492,3.095396714,1,distributed,constraint_reconstruction
100,167.246300649,3.758766306,0.665000000,3.093766306,1,distributed,constraint_reconstruction
101,168.000000000,3.747306959,0.654828039,3.092478920,1,distributed,constraint_reconstruction
102,169.246886563,3.727898049,0.638000000,3.089898049,1,distributed,constraint_reconstruction
103,170.000000000,3.718577203,0.630468720,3.088108484,1,distributed,constraint_reconstruction
104,171.246847813,3.702799828,0.618000000,3.084799828,1,distributed,constraint_reconstruction
105,172.000000000,3.714556864,0.631933585,3.082623278,1,distributed,constraint_reconstruction
106,173.246809062,3.733751874,0.655000000,3.078751874,1,distributed,constraint_reconstruction
107,174.000000000,3.731649995,0.655376603,3.076273393,1,distributed,constraint_reconstruction
108,175.246770312,3.727958166,0.656000000,3.071958166,1,distributed,constraint_reconstruction
109,176.000000000,3.725991618,0.656753009,3.069238609,1,distributed,constraint_reconstruction
110,177.247356226,3.722562328,0.658000000,3.064562328,1,distributed,constraint_reconstruction
111,178.000000000,3.720024978,0.658376329,3.061648649,1,distributed,constraint_reconstruction
112,179.247317476,3.715678756,0.659000000,3.056678756,1,distributed,constraint_reconstruction
113,180.000000000,3.712982147,0.659376496,3.053605651,1,distributed,constraint_reconstruction
114,181.246497808,3.708405611,0.660000000,3.048405611,1,distributed,constraint_reconstruction
115,182.000000000,3.692775385,0.647566973,3.045208412,1,distributed,constraint_reconstruction
116,183.246459057,3.666846006,0.627000000,3.039846006,1,distributed,constraint_reconstruction
117,184.000000000,3.651524953,0.614946876,3.036578077,1,distributed,constraint_reconstruction
118,185.247044971,3.626148962,0.595000000,3.031148962,1,distributed,constraint_reconstruction
119,186.000000000,3.613849341,0.585964365,3.027884976,1,distributed,constraint_reconstruction
120,187.247006221,3.593534873,0.571000000,3.022534873,1,distributed,constraint_reconstruction
121,188.000000000,3.581340086,0.561963900,3.019376186,1,distributed,constraint_reconstruction
122,189.246967471,3.561309992,0.547000000,3.014309992,1,distributed,constraint_reconstruction
123,190.000000000,3.549369499,0.537966256,3.011403243,1,distributed,constraint_reconstruction
124,191.247553385,3.529902622,0.523000000,3.006902622,1,distributed,constraint_reconstruction
125,192.000000000,3.518416158,0.513966939,3.004449219,1,distributed,constraint_reconstruction
126,193.246733717,3.499897724,0.499000000,3.000897724,1,distributed,constraint_reconstruction
127,194.000000000,3.489114782,0.489960629,2.999154152,1,distributed,constraint_reconstruction
128,195.246694966,3.472037111,0.475000000,2.997037111,1,distributed,constraint_reconstruction
129,196.000000000,3.464933687,0.468596783,2.996336904,1,distributed,constraint_reconstruction
130,197.246656216,3.454262749,0.458000000,2.996262749,1,distributed,constraint_reconstruction
131,198.000000000,3.339030942,0.342019035,2.997011907,1,distributed,constraint_reconstruction
132,199.247242130,3.149717822,0.150000000,2.999717822,1,distributed,constraint_reconstruction
133,200.000000000,2.998079367,-0.004318353,3.002397720,1,distributed,constraint_reconstruction
134,201.247203380,2.748746111,-0.260000000,3.008746111,1,distributed,constraint_reconstruction
135,202.000000000,2.531835248,-0.482079306,3.013914554,1,distributed,constraint_reconstruction
136,203.247164630,2.174886076,-0.850000000,3.024886076,1,distributed,constraint_reconstruction
137,204.000000000,2.043834718,-0.989331646,3.033166364,1,distributed,constraint_reconstruction
138,205.246344961,1.829827331,-1.220000000,3.049827331,1,distributed,constraint_reconstruction
139,206.000000000,1.620017120,-1.441886406,3.061903526,1,distributed,constraint_reconstruction
140,207.246930876,1.276413535,-1.809000000,3.085413535,1,distributed,constraint_reconstruction
141,208.000000000,1.371657483,-1.730302752,3.101960235,1,distributed,constraint_reconstruction
142,209.246892125,1.533457454,-1.600000000,3.133457454,1,distributed,constraint_reconstruction
143,210.000000000,1.660599485,-1.494562855,3.155162339,1,distributed,constraint_reconstruction
144,211.246853375,1.875726495,-1.320000000,3.195726495,1,distributed,constraint_reconstruction
145,212.000000000,2.230823294,-0.992374870,3.223198164,1,distributed,constraint_reconstruction
146,213.246814624,2.823740095,-0.450000000,3.273740095,1,distributed,constraint_reconstruction
147,214.000000000,3.072042669,-0.235405035,3.307447704,1,distributed,constraint_reconstruction
148,215.247400539,3.488611537,0.120000000,3.368611537,1,distributed,constraint_reconstruction
149,216.000000000,3.611551902,0.202787545,3.408764357,1,distributed,constraint_reconstruction
150,217.247361788,3.820674098,0.340000000,3.480674098,1,distributed,constraint_reconstruction
151,218.000000000,3.886028784,0.358823670,3.527205114,1,distributed,constraint_reconstruction
152,219.246542120,3.999301401,0.390000000,3.609301401,1,distributed,constraint_reconstruction
153,220.000000000,4.059240851,0.397534725,3.661706126,1,distributed,constraint_reconstruction
154,221.246503370,4.162644464,0.410000000,3.752644464,1,distributed,constraint_reconstruction
155,222.000000000,4.427608440,0.617904163,3.809704277,1,distributed,constraint_reconstruction
156,223.247089284,4.868994517,0.962000000,3.906994517,1,distributed,constraint_reconstruction
157,224.000000000,4.922307960,0.955600135,3.966707825,1,distributed,constraint_reconstruction
158,225.247050534,5.011323018,0.945000000,4.066323018,1,distributed,constraint_reconstruction
159,226.000000000,4.989127399,0.863303400,4.125823999,1,distributed,constraint_reconstruction
160,227.247011783,4.950035690,0.728000000,4.222035690,1,distributed,constraint_reconstruction
161,228.000000000,5.015048685,0.737789036,4.277259648,1,distributed,constraint_reconstruction
162,229.246973033,5.116274584,0.754000000,4.362274584,1,distributed,constraint_reconstruction
163,230.000000000,5.149012889,0.741197295,4.407815594,1,distributed,constraint_reconstruction
164,231.246778274,5.191464009,0.720000000,4.471464009,1,distributed,constraint_reconstruction
165,232.000000000,5.351469926,0.851063120,4.500406807,1,distributed,constraint_reconstruction
166,233.246739523,5.597900459,1.068000000,4.529900459,1,distributed,constraint_reconstruction
167,233.855335041,5.400000000,0.866246677,4.533753323,1,distributed,constraint_reconstruction
168,234.000000000,5.351827888,0.818289314,4.533538574,1,distributed,constraint_reconstruction
169,235.246700773,4.919127076,0.405000000,4.514127076,1,distributed,constraint_reconstruction
170,236.000000000,5.314436557,0.824219142,4.490217414,1,distributed,constraint_reconstruction
171,237.246662023,5.951289469,1.518000000,4.433289469,1,distributed,constraint_reconstruction
172,238.000000000,5.944325732,1.553396515,4.390929216,1,distributed,constraint_reconstruction
173,239.247247937,5.921888609,1.612000000,4.309888609,1,distributed,constraint_reconstruction
174,240.000000000,5.883474165,1.627055333,4.256418832,1,distributed,constraint_reconstruction
175,241.247209186,5.814059820,1.652000000,4.162059820,1,distributed,constraint_reconstruction
176,242.000000000,5.828992382,1.725803747,4.103188635,1,distributed,constraint_reconstruction
177,243.246389518,5.851896404,1.848000000,4.003896404,1,distributed,constraint_reconstruction
178,244.000000000,5.765175603,1.821254663,3.943920940,1,distributed,constraint_reconstruction
179,245.246975432,5.622765187,1.777000000,3.845765187,1,distributed,constraint_reconstruction
180,246.000000000,5.512249646,1.724287259,3.787962387,1,distributed,constraint_reconstruction
181,247.246936682,5.332353042,1.637000000,3.695353042,1,distributed,constraint_reconstruction
182,248.000000000,5.259629373,1.617796513,3.641832860,1,distributed,constraint_reconstruction
183,249.246897932,5.143619286,1.586000000,3.557619286,1,distributed,constraint_reconstruction
184,250.000000000,5.076139402,1.566418967,3.509720435,1,distributed,constraint_reconstruction
185,251.246859181,4.969537162,1.534000000,3.435537162,1,distributed,constraint_reconstruction
186,252.000000000,4.908748341,1.514800534,3.393947808,1,distributed,constraint_reconstruction
187,253.247445095,4.813453413,1.483000000,3.330453413,1,distributed,constraint_reconstruction
188,254.000000000,4.759203638,1.463809478,3.295394160,1,distributed,constraint_reconstruction
189,255.247406345,4.674604153,1.432000000,3.242604153,1,distributed,constraint_reconstruction
190,256.000000000,4.626666359,1.412800993,3.213865366,1,distributed,constraint_reconstruction
191,257.246586677,4.552278747,1.381000000,3.171278747,1,distributed,constraint_reconstruction
192,258.000000000,4.518107886,1.369698581,3.148409305,1,distributed,constraint_reconstruction
193,259.246547927,4.466133499,1.351000000,3.115133499,1,distributed,constraint_reconstruction
194,260.000000000,4.392461590,1.294884260,3.097577330,1,distributed,constraint_reconstruction
195,261.247133841,4.274539742,1.202000000,3.072539742,1,distributed,constraint_reconstruction
196,262.000000000,4.167524083,1.107889907,3.059634176,1,distributed,constraint_reconstruction
197,263.247095091,3.993695354,0.952000000,3.041695354,1,distributed,constraint_reconstruction
198,264.000000000,3.892864928,0.860143821,3.032721107,1,distributed,constraint_reconstruction
199,265.247056340,3.728714082,0.708000000,3.020714082,1,distributed,constraint_reconstruction
200,266.000000000,3.637893963,0.622915718,3.014978245,1,distributed,constraint_reconstruction
201,267.247017590,3.489781617,0.482000000,3.007781617,1,distributed,constraint_reconstruction
202,268.000000000,3.503575081,0.498943754,3.004631327,1,distributed,constraint_reconstruction
203,269.246822830,3.528208385,0.527000000,3.001208385,1,distributed,constraint_reconstruction
204,270.000000000,3.465664000,0.465614871,3.000049129,1,distributed,constraint_reconstruction
205,271.246784080,3.363470074,0.364000000,2.999470074,1,distributed,constraint_reconstruction
206,272.000000000,3.375452312,0.375675073,2.999777239,1,distributed,constraint_reconstruction
207,273.246745330,3.396232073,0.395000000,3.001232073,1,distributed,constraint_reconstruction
208,274.000000000,3.416008317,0.413455097,3.002553220,1,distributed,constraint_reconstruction
209,275.246706579,3.449353170,0.444000000,3.005353170,1,distributed,constraint_reconstruction
210,276.000000000,3.467122495,0.459814529,3.007307966,1,distributed,constraint_reconstruction
211,277.247292494,3.496882965,0.486000000,3.010882965,1,distributed,constraint_reconstruction
212,278.000000000,3.514964418,0.501807164,3.013157254,1,distributed,constraint_reconstruction
213,279.247253743,3.545041586,0.528000000,3.017041586,1,distributed,constraint_reconstruction
214,280.000000000,3.563200917,0.543814153,3.019386765,1,distributed,constraint_reconstruction
215,281.246434075,3.593210760,0.570000000,3.023210760,1,distributed,constraint_reconstruction
216,282.000000000,3.613896429,0.588462723,3.025433706,1,distributed,constraint_reconstruction
217,283.246395325,3.647917229,0.619000000,3.028917229,1,distributed,constraint_reconstruction
218,284.000000000,3.660791202,0.629924068,3.030867134,1,distributed,constraint_reconstruction
219,285.246981239,3.681801287,0.648000000,3.033801287,1,distributed,constraint_reconstruction
220,286.000000000,3.681109594,0.645740900,3.035368694,1,distributed,constraint_reconstruction
221,287.246942489,3.679602708,0.642000000,3.037602708,1,distributed,constraint_reconstruction
222,288.000000000,3.678456130,0.639740784,3.038715346,1,distributed,constraint_reconstruction
223,289.246903738,3.676152086,0.636000000,3.040152086,1,distributed,constraint_reconstruction
224,290.000000000,3.674882307,0.634117223,3.040765084,1,distributed,constraint_reconstruction
225,291.246864988,3.672352242,0.631000000,3.041352242,1,distributed,constraint_reconstruction
226,292.000000000,3.670187517,0.628741257,3.041446261,1,distributed,constraint_reconstruction
227,293.247450902,3.666171502,0.625000000,3.041171502,1,distributed,constraint_reconstruction
228,294.000000000,3.663492486,0.622741427,3.040751059,1,distributed,constraint_reconstruction
229,295.246631234,3.658641406,0.619000000,3.039641406,1,distributed,constraint_reconstruction
230,296.000000000,3.655473168,0.616739850,3.038733318,1,distributed,constraint_reconstruction
