point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
78,154.000000000,4.550272186,0.880095606,3.670176580,1,center,constraint_reconstruction
79,155.246689404,4.533245130,0.867000000,3.666245130,1,center,constraint_reconstruction
80,156.000000000,4.522429764,0.859090085,3.663339679,1,center,constraint_reconstruction
81,157.246650654,4.503911381,0.846000000,3.657911381,1,center,constraint_reconstruction
82,158.000000000,4.492557626,0.838089679,3.654467947,1,center,constraint_reconstruction
83,159.246611903,4.473671447,0.825000000,3.648671447,1,center,constraint_reconstruction
84,160.000000000,4.421664147,0.776420699,3.645243447,1,center,constraint_reconstruction
85,161.247197817,4.335796176,0.696000000,3.639796176,1,center,constraint_reconstruction
86,162.000000000,4.315782117,0.679061623,3.636720494,1,center,constraint_reconstruction
87,163.247159067,4.283028508,0.651000000,3.632028508,1,center,constraint_reconstruction
88,164.000000000,4.265790696,0.636319317,3.629471379,1,center,constraint_reconstruction
89,165.247120317,4.237706981,0.612000000,3.625706981,1,center,constraint_reconstruction
90,166.000000000,4.255681050,0.631959492,3.623721559,1,center,constraint_reconstruction
91,167.246300649,4.285902582,0.665000000,3.620902582,1,center,constraint_reconstruction
92,168.000000000,4.274293302,0.654828039,3.619465263,1,center,constraint_reconstruction
93,169.246886563,4.255509172,0.638000000,3.617509172,1,center,constraint_reconstruction
94,170.000000000,4.247026247,0.630468720,3.616557527,1,center,constraint_reconstruction
95,171.246847813,4.233335473,0.618000000,3.615335473,1,center,constraint_reconstruction
96,172.000000000,4.246716121,0.631933585,3.614782535,1,center,constraint_reconstruction
97,173.246809062,4.269145406,0.655000000,3.614145406,1,center,constraint_reconstruction
98,174.000000000,4.269277178,0.655376603,3.613900575,1,center,constraint_reconstruction
99,175.246770312,4.269700096,0.656000000,3.613700096,1,center,constraint_reconstruction
100,176.000000000,4.270429891,0.656753009,3.613676882,1,center,constraint_reconstruction
101,177.247356226,4.271776181,0.658000000,3.613776181,1,center,constraint_reconstruction
102,178.000000000,4.272272531,0.658376329,3.613896202,1,center,constraint_reconstruction
103,179.247317476,4.273173064,0.659000000,3.614173064,1,center,constraint_reconstruction
104,180.000000000,4.273743244,0.659376496,3.614366749,1,center,constraint_reconstruction
105,181.246497808,4.274712115,0.660000000,3.614712115,1,center,constraint_reconstruction
106,182.000000000,4.262484046,0.647566973,3.614917073,1,center,constraint_reconstruction
107,183.246459057,4.242231568,0.627000000,3.615231568,1,center,constraint_reconstruction
108,184.000000000,4.230335747,0.614946876,3.615388871,1,center,constraint_reconstruction
109,185.247044971,4.210576832,0.595000000,3.615576832,1,center,constraint_reconstruction
110,186.000000000,4.201592820,0.585964365,3.615628455,1,center,constraint_reconstruction
111,187.247006221,4.186592947,0.571000000,3.615592947,1,center,constraint_reconstruction
112,188.000000000,4.177443387,0.561963900,3.615479487,1,center,constraint_reconstruction
113,189.246967471,4.162119893,0.547000000,3.615119893,1,center,constraint_reconstruction
114,190.000000000,4.152745712,0.537966256,3.614779456,1,center,constraint_reconstruction
115,191.247553385,4.136991620,0.523000000,3.613991620,1,center,constraint_reconstruction
116,192.000000000,4.127329303,0.513966939,3.613362364,1,center,constraint_reconstruction
117,193.246733717,4.111046584,0.499000000,3.612046584,1,center,constraint_reconstruction
118,194.000000000,4.101030845,0.489960629,3.611070215,1,center,constraint_reconstruction
119,195.246694966,4.084140764,0.475000000,3.609140764,1,center,constraint_reconstruction
120,196.000000000,4.076372812,0.468596783,3.607776029,1,center,constraint_reconstruction
121,197.246656216,4.063184631,0.458000000,3.605184631,1,center,constraint_reconstruction
122,198.000000000,3.945439762,0.342019035,3.603420728,1,center,constraint_reconstruction
123,199.247242130,3.750185210,0.150000000,3.600185210,1,center,constraint_reconstruction
124,200.000000000,3.593747603,-0.004318353,3.598065956,1,center,constraint_reconstruction
125,201.247203380,3.334316592,-0.260000000,3.594316592,1,center,constraint_reconstruction
126,202.000000000,3.109884359,-0.482079306,3.591963664,1,center,constraint_reconstruction
127,203.247164630,2.737990135,-0.850000000,3.587990135,1,center,constraint_reconstruction
128,204.000000000,2.596309664,-0.989331646,3.585641311,1,center,constraint_reconstruction
129,205.246344961,2.361955761,-1.220000000,3.581955761,1,center,constraint_reconstruction
130,206.000000000,2.138112160,-1.441886406,3.579998565,1,center,constraint_reconstruction
131,207.246930876,1.768389550,-1.809000000,3.577389550,1,center,constraint_reconstruction
132,208.000000000,1.846103841,-1.730302752,3.576406593,1,center,constraint_reconstruction
133,209.246892125,1.976008787,-1.600000000,3.576008787,1,center,constraint_reconstruction
134,210.000000000,2.082233194,-1.494562855,3.576796049,1,center,constraint_reconstruction
135,211.246853375,2.260122167,-1.320000000,3.580122167,1,center,constraint_reconstruction
136,212.000000000,2.591335866,-0.992374870,3.583710737,1,center,constraint_reconstruction
137,213.246814624,3.142656799,-0.450000000,3.592656799,1,center,constraint_reconstruction
138,214.000000000,3.364891614,-0.235405035,3.600296649,1,center,constraint_reconstruction
139,215.247400539,3.737094858,0.120000000,3.617094858,1,center,constraint_reconstruction
140,216.000000000,3.832972813,0.202787545,3.630185268,1,center,constraint_reconstruction
141,217.247361788,3.997233071,0.340000000,3.657233071,1,center,constraint_reconstruction
142,218.000000000,4.036045481,0.358823670,3.677221811,1,center,constraint_reconstruction
143,219.246542120,4.106800646,0.390000000,3.716800646,1,center,constraint_reconstruction
144,220.000000000,4.142514211,0.397534725,3.744979486,1,center,constraint_reconstruction
145,221.246503370,4.208884964,0.410000000,3.798884964,1,center,constraint_reconstruction
146,222.000000000,4.453903873,0.617904163,3.835999710,1,center,constraint_reconstruction
147,223.247089284,4.866877991,0.962000000,3.904877991,1,center,constraint_reconstruction
148,224.000000000,4.906303898,0.955600135,3.950703763,1,center,constraint_reconstruction
149,225.247050534,4.978103121,0.945000000,4.033103121,1,center,constraint_reconstruction
150,226.000000000,4.949238904,0.863303400,4.085935504,1,center,constraint_reconstruction
151,227.247011783,4.905302582,0.728000000,4.177302582,1,center,constraint_reconstruction
152,228.000000000,4.970920808,0.737789036,4.233131772,1,center,constraint_reconstruction
153,229.246973033,5.078472869,0.754000000,4.324472869,1,center,constraint_reconstruction
154,230.000000000,5.117371977,0.741197295,4.376174682,1,center,constraint_reconstruction
155,231.246778274,5.172602541,0.720000000,4.452602541,1,center,constraint_reconstruction
156,232.000000000,5.340129460,0.851063120,4.489066341,1,center,constraint_reconstruction
157,233.246739523,5.596399561,1.068000000,4.528399561,1,center,constraint_reconstruction
158,233.855335041,5.400000000,0.866246677,4.533753323,1,center,constraint_reconstruction
159,234.000000000,5.351747008,0.818289314,4.533457694,1,center,constraint_reconstruction
160,235.246700773,4.911850512,0.405000000,4.506850512,1,center,constraint_reconstruction
161,236.000000000,5.300262682,0.824219142,4.476043540,1,center,constraint_reconstruction
162,237.246662023,5.924012403,1.518000000,4.406012403,1,center,constraint_reconstruction
163,238.000000000,5.910100947,1.553396515,4.356704432,1,center,constraint_reconstruction
164,239.247247937,5.879274990,1.612000000,4.267274990,1,center,constraint_reconstruction
165,240.000000000,5.838735393,1.627055333,4.211680060,1,center,constraint_reconstruction
166,241.247209186,5.771348598,1.652000000,4.119348598,1,center,constraint_reconstruction
167,242.000000000,5.791199904,1.725803747,4.065396157,1,center,constraint_reconstruction
168,243.246389518,5.828442302,1.848000000,3.980442302,1,center,constraint_reconstruction
169,244.000000000,5.753990363,1.821254663,3.932735700,1,center,constraint_reconstruction
170,245.246975432,5.637524732,1.777000000,3.860524732,1,center,constraint_reconstruction
171,246.000000000,5.545638380,1.724287259,3.821351121,1,center,constraint_reconstruction
172,247.246936682,5.400965527,1.637000000,3.763965527,1,center,constraint_reconstruction
173,248.000000000,5.351571678,1.617796513,3.733775165,1,center,constraint_reconstruction
174,249.246897932,5.276990455,1.586000000,3.690990455,1,center,constraint_reconstruction
175,250.000000000,5.235615874,1.566418967,3.669196907,1,center,constraint_reconstruction
