case_id,wse_m,velocity_mps,flow_area_m2,froude,delta_wse_mm
Current,22.202982,3.847626,6757.413,0.326567,0.0
Protect05,22.199722,3.859962,6735.817,0.327821,-3.26
Protect10,22.198093,3.866143,6725.049,0.328449,-4.889
Protect20,22.194809,3.878576,6703.491,0.329713,-8.173
DesignBed,21.972029,4.646346,5595.795,0.433411,-230.953
